"from","to","freq","duration_s"
"1005","1007",172,3541.90697674419
"1005","1008",34,3498.35294117647
"1005","1009",42,1487.30952380952
"1005","1010",96,2652.96875
"1005","1011",31,3386.25806451613
"1005","1012",63,2363.15873015873
"1005","1013",89,4088.32584269663
"1005","1014",30,3001.53333333333
"1005","1015",142,1532.97887323944
"1005","1016",130,3833.86923076923
"1005","1017",169,4068.16568047337
"1005","1018",66,1665.22727272727
"1005","1019",306,4147.28104575163
"1005","1020",6,1495
"1005","1021",24,4402.95833333333
"1005","1022",3,31412
"1005","1023",3,1460.33333333333
"1005","1024",1,2157
"1005","1025",2,1906
"1005","1026",1,2381
"1005","1027",1,2862
"1005","1028",3,2973
"1005","1029",3,8704
"1005","1030",0,0
"1005","1031",0,0
"1005","1032",6,3816.5
"1005","1033",5,3060.6
"1005","1034",5,4843.6
"1005","1035",9,12336.6666666667
"1005","1036",12,10080.25
"1005","1037",4,4718.75
"1005","1038",4,1525.5
"1005","1039",6,17442
"1005","1040",11,1532.36363636364
"1005","1041",9,3221.44444444444
"1005","1042",3,680
"1005","1043",17,5255.76470588235
"1005","1044",9,1199
"1005","1045",122,3417.70491803279
"1005","1046",99,3640.64646464646
"1005","1047",72,1980.08333333333
"1005","1048",165,1738.04848484848
"1005","1049",328,1456.60670731707
"1005","1050",43,13878.511627907
"1005","1061",28,4164.35714285714
"1006","1000",114,2934.0350877193
"1006","1001",130,4744.53846153846
"1006","1002",33,3392.84848484848
"1006","1003",52,1466.15384615385
"1006","1004",68,2920.32352941176
"1006","1005",48,2337.72916666667
"1006","1006",677,5190.84490398818
"1006","1007",64,3540.140625
"1006","1008",222,2421.33783783784
"1006","1009",50,3563.9
"1006","1010",102,3213.29411764706
"1006","1011",28,3472.64285714286
"1006","1012",65,4055.76923076923
"1006","1013",115,4800.54782608696
"1006","1014",74,2164.66216216216
"1006","1015",102,2294.82352941176
"1006","1016",219,3572.87214611872
"1006","1017",291,1822.91065292096
"1006","1018",91,1484.38461538462
"1006","1019",77,3731.25974025974
"1006","1020",2,2455.5
"1006","1021",4,2141.5
"1006","1022",3,2170.66666666667
"1006","1023",6,2349.66666666667
"1006","1024",3,2029.33333333333
"1006","1025",2,2801.5
"1006","1026",1,5963
"1006","1027",0,0
"1006","1028",1,2342
"1006","1029",0,0
"1006","1030",2,2381.5
"1006","1031",1,2316
"1006","1032",1,57005
"1006","1033",10,15622.9
"1006","1034",1,1648
"1006","1035",4,1714.75
"1006","1036",32,3785.5625
"1006","1037",11,6903.09090909091
"1006","1038",38,2056.44736842105
"1006","1039",4,6836.5
"1006","1040",35,1981.54285714286
"1006","1041",9,1838.66666666667
"1006","1042",8,1526.875
"1006","1043",6,1293.83333333333
"1006","1044",123,2367.47154471545
"1006","1045",291,2850.25773195876
"1006","1046",51,3102.07843137255
"1006","1047",76,2153.22368421053
"1006","1048",252,2979.32936507937
"1006","1049",731,1556.7195622435
"1006","1050",2,38251.5
"1006","1061",19,1616.10526315789
"1007","1000",145,3396.35862068966
"1007","1001",348,1751.63218390805
"1007","1002",61,2129.90163934426
"1007","1003",55,3717.69090909091
"1007","1004",34,7655.38235294118
"1007","1005",165,4030.61212121212
"1007","1006",84,2381.39285714286
"1007","1007",581,4729.76936316695
"1007","1008",10,3434.2
"1007","1009",15,7627.6
"1007","1010",70,2332.98571428571
"1007","1011",22,6003.36363636364
"1007","1012",71,4532.15492957746
"1007","1013",38,3453.60526315789
"1007","1014",4,1119.5
"1007","1015",40,1487.5
"1007","1016",52,2017.61538461538
"1007","1017",60,2057.48333333333
"1007","1018",10,3178.9
"1007","1019",23,3107.21739130435
"1007","1020",2,1908.5
"1007","1021",0,0
"1007","1022",0,0
"1007","1023",3,1839.33333333333
"1007","1024",26,1499.84615384615
"1007","1025",2,9173
"1007","1026",3,7887.33333333333
"1007","1027",3,5350.33333333333
"1007","1028",2,41637
"1007","1029",0,0
"1007","1030",0,0
"1007","1031",1,1551
"1007","1032",0,0
"1007","1033",14,4143.78571428571
"1007","1034",3,2139.33333333333
"1007","1035",7,3039.14285714286
"1007","1036",30,2069.06666666667
"1007","1037",11,2748.63636363636
"1007","1038",9,2512.55555555556
"1007","1039",72,2039.56944444444
"1007","1040",19,9211.05263157895
"1007","1041",35,1875.08571428571
"1007","1042",3,1096
"1007","1043",32,3254.4375
"1007","1044",20,1107.45
"1007","1045",97,2003.30927835052
"1007","1046",53,1527.54716981132
"1007","1047",179,3463.48044692737
"1007","1048",276,1691.07608695652
"1007","1049",198,3278.90909090909
"1007","1050",3,12766.3333333333
"1007","1061",2,1280.5
"1008","1000",132,5541.84848484848
"1008","1001",247,3264.48987854251
"1008","1002",39,1143.66666666667
"1008","1003",29,4180.1724137931
"1008","1004",61,2982.50819672131
"1008","1005",48,2053.14583333333
"1008","1006",407,1642.457002457
"1008","1007",13,5987.30769230769
"1008","1008",256,6618.72265625
"1008","1009",33,2029.39393939394
"1008","1010",100,1421.17
"1008","1011",52,1294.55769230769
"1008","1012",57,3550.73684210526
"1008","1013",46,1879.19565217391
"1008","1014",7,1646.28571428571
"1008","1015",34,5469.26470588235
"1008","1016",112,2141.00892857143
"1008","1017",73,1993.13698630137
"1008","1018",16,2140.75
"1008","1019",49,1594.79591836735
"1008","1020",1,1663
"1008","1021",0,0
"1008","1022",1,2561
"1008","1023",0,0
"1008","1024",0,0
"1008","1025",0,0
"1008","1026",0,0
"1008","1027",0,0
"1008","1028",4,3018.25
"1008","1029",1,4431
"1008","1030",0,0
"1008","1031",0,0
"1008","1032",0,0
"1008","1033",4,5833.75
"1008","1034",1,1071
"1008","1035",0,0
"1008","1036",3,2202.66666666667
"1008","1037",6,3013.16666666667
"1008","1038",0,0
"1008","1039",0,0
"1008","1040",1,2323
"1008","1041",10,1946.4
"1008","1042",8,2765
"1008","1043",3,4099.66666666667
"1008","1044",3,1152.66666666667
"1008","1045",12,3349.08333333333
"1008","1046",7,2088
