"","From.station.id","To.station.id","Freq"
"388","1027","1006",1
"389","1028","1006",3
"390","1029","1006",2
"391","1030","1006",5
"392","1031","1006",6
"393","1032","1006",80
"394","1033","1006",28
"395","1034","1006",6
"396","1035","1006",10
"397","1036","1006",13
"398","1037","1006",19
"399","1038","1006",56
"400","1039","1006",6
"401","1040","1006",14
"402","1041","1006",84
"403","1042","1006",98
"404","1043","1006",19
"405","1044","1006",11
"406","1045","1006",92
"407","1046","1006",49
"408","1047","1006",30
"409","1048","1006",143
"410","1049","1006",474
"411","1050","1006",4
"412","1059","1006",1
"413","1061","1006",12
"414","1751","1006",0
"415","1761","1006",0
"416","1762","1006",0
"417","1764","1006",0
"418","1771","1006",0
"419","1781","1006",0
"420","1791","1006",0
"421","1000","1007",106
"422","1001","1007",186
"423","1002","1007",52
"424","1003","1007",67
"425","1004","1007",25
"426","1005","1007",172
"427","1006","1007",64
"428","1007","1007",581
"429","1008","1007",13
"430","1009","1007",16
"431","1010","1007",49
"432","1011","1007",10
"433","1012","1007",61
"434","1013","1007",29
"435","1014","1007",4
"436","1015","1007",12
"437","1016","1007",56
"438","1017","1007",43
"439","1018","1007",4
"440","1019","1007",3
"441","1020","1007",3
"442","1021","1007",3
"443","1022","1007",1
"444","1023","1007",3
"445","1024","1007",4
"446","1025","1007",6
"447","1026","1007",1
"448","1027","1007",0
"449","1028","1007",0
"450","1029","1007",3
"451","1030","1007",1
"452","1031","1007",1
"453","1032","1007",0
"454","1033","1007",6
"455","1034","1007",7
"456","1035","1007",10
"457","1036","1007",32
"458","1037","1007",13
"459","1038","1007",9
"460","1039","1007",165
"461","1040","1007",7
"462","1041","1007",96
"463","1042","1007",15
"464","1043","1007",24
"465","1044","1007",10
"466","1045","1007",105
"467","1046","1007",31
"468","1047","1007",122
"469","1048","1007",268
"470","1049","1007",207
"471","1050","1007",0
"472","1059","1007",0
"473","1061","1007",1
"474","1751","1007",2
"475","1761","1007",0
"476","1762","1007",0
"477","1764","1007",0
"478","1771","1007",0
"479","1781","1007",0
"480","1791","1007",0
"481","1000","1008",55
"482","1001","1008",79
"483","1002","1008",12
"484","1003","1008",10
"485","1004","1008",19
"486","1005","1008",34
"487","1006","1008",222
"488","1007","1008",10
"489","1008","1008",256
"490","1009","1008",27
"491","1010","1008",25
"492","1011","1008",8
"493","1012","1008",35
"494","1013","1008",29
"495","1014","1008",2
"496","1015","1008",20
"497","1016","1008",40
"498","1017","1008",40
"499","1018","1008",2
"500","1019","1008",4
"501","1020","1008",2
"502","1021","1008",4
"503","1022","1008",3
"504","1023","1008",0
"505","1024","1008",7
"506","1025","1008",0
"507","1026","1008",2
"508","1027","1008",1
"509","1028","1008",0
"510","1029","1008",0
"511","1030","1008",3
"512","1031","1008",1
"513","1032","1008",2
"514","1033","1008",2
"515","1034","1008",1
"516","1035","1008",2
"517","1036","1008",2
"518","1037","1008",3
"519","1038","1008",1
"520","1039","1008",1
"521","1040","1008",5
"522","1041","1008",13
"523","1042","1008",28
"524","1043","1008",8
"525","1044","1008",5
"526","1045","1008",10
"527","1046","1008",1
"528","1047","1008",14
"529","1048","1008",32
"530","1049","1008",27
"531","1050","1008",0
"532","1059","1008",0
"533","1061","1008",3
"534","1751","1008",0
"535","1761","1008",0
"536","1762","1008",0
"537","1764","1008",0
"538","1771","1008",0
"539","1781","1008",0
"540","1791","1008",0
"541","1000","1009",224
"542","1001","1009",444
"543","1002","1009",95
"544","1003","1009",47
"545","1004","1009",26
"546","1005","1009",42
"547","1006","1009",50
"548","1007","1009",15
"549","1008","1009",33
"550","1009","1009",1100
"551","1010","1009",176
"552","1011","1009",47
"553","1012","1009",94
"554","1013","1009",160
"555","1014","1009",6
"556","1015","1009",57
"557","1016","1009",133
"558","1017","1009",208
"559","1018","1009",47
"560","1019","1009",89
"561","1020","1009",48
"562","1021","1009",28
"563","1022","1009",53
"564","1023","1009",7
"565","1024","1009",2
"566","1025","1009",16
"567","1026","1009",6
"568","1027","1009",1
"569","1028","1009",2
"570","1029","1009",5
"571","1030","1009",1
"572","1031","1009",3
"573","1032","1009",4
"574","1033","1009",1
"575","1034","1009",8
"576","1035","1009",4
"577","1036","1009",3
"578","1037","1009",0
"579","1038","1009",5
"580","1039","1009",10
"581","1040","1009",2
"582","1041","1009",7
"583","1042","1009",9
"584","1043","1009",3
"585","1044","1009",3
"586","1045","1009",20
"587","1046","1009",13
"588","1047","1009",10
"589","1048","1009",17
"590","1049","1009",26
"591","1050","1009",26
"592","1059","1009",1
"593","1061","1009",25
"594","1751","1009",0
"595","1761","1009",0
"596","1762","1009",0
"597","1764","1009",0
"598","1771","1009",0
"599","1781","1009",0
"600","1791","1009",0
"601","1000","1010",487
"602","1001","1010",478
"603","1002","1010",85
"604","1003","1010",128
"605","1004","1010",66
"606","1005","1010",96
"607","1006","1010",102
"608","1007","1010",70
"609","1008","1010",100
"610","1009","1010",216
"611","1010","1010",2665
"612","1011","1010",219
"613","1012","1010",321
"614","1013","1010",401
"615","1014","1010",115
"616","1015","1010",313
"617","1016","1010",994
"618","1017","1010",1271
"619","1018","1010",333
"620","1019","1010",323
"621","1020","1010",149
"622","1021","1010",180
"623","1022","1010",115
"624","1023","1010",48
"625","1024","1010",30
"626","1025","1010",43
"627","1026","1010",10
"628","1027","1010",6
"629","1028","1010",13
"630","1029","1010",9
"631","1030","1010",7
"632","1031","1010",12
"633","1032","1010",110
"634","1033","1010",59
"635","1034","1010",12
"636","1035","1010",9
"637","1036","1010",20
"638","1037","1010",10
"639","1038","1010",74
"640","1039","1010",11
"641","1040","1010",14
"642","1041","1010",35
"643","1042","1010",14
"644","1043","1010",21
"645","1044","1010",23
"646","1045","1010",132
"647","1046","1010",139
"648","1047","1010",73
"649","1048","1010",99
"650","1049","1010",127
"651","1050","1010",73
"652","1059","1010",0
"653","1061","1010",156
"654","1751","1010",0
"655","1761","1010",0
"656","1762","1010",0
"657","1764","1010",0
"658","1771","1010",0
"659","1781","1010",0
"660","1791","1010",1
"661","1000","1011",93
"662","1001","1011",127
"663","1002","1011",43
"664","1003","1011",45
"665","1004","1011",50
"666","1005","1011",31
"667","1006","1011",28
"668","1007","1011",22
"669","1008","1011",52
"670","1009","1011",100
"671","1010","1011",205
"672","1011","1011",1495
"673","1012","1011",226
"674","1013","1011",200
"675","1014","1011",97
"676","1015","1011",238
"677","1016","1011",174
"678","1017","1011",348
"679","1018","1011",118
"680","1019","1011",144
"681","1020","1011",25
"682","1021","1011",48
"683","1022","1011",6
"684","1023","1011",29
"685","1024","1011",9
"686","1025","1011",11
"687","1026","1011",8
"688","1027","1011",15
"689","1028","1011",3
"690","1029","1011",9
"691","1030","1011",4
"692","1031","1011",7
"693","1032","1011",5
"694","1033","1011",19
"695","1034","1011",10
"696","1035","1011",9
"697","1036","1011",13
"698","1037","1011",15
"699","1038","1011",9
"700","1039","1011",9
"701","1040","1011",6
"702","1041","1011",12
"703","1042","1011",13
"704","1043","1011",11
"705","1044","1011",16
"706","1045","1011",101
"707","1046","1011",27
"708","1047","1011",25
"709","1048","1011",57
"710","1049","1011",76
"711","1050","1011",17
"712","1059","1011",1
"713","1061","1011",53
"714","1751","1011",0
"715","1761","1011",0
"716","1762","1011",1
"717","1764","1011",0
"718","1771","1011",0
"719","1781","1011",0
"720","1791","1011",0
"721","1000","1012",523
