"1009",309,427,65,62,21,50,70,16,27,1100,216,100,119,177,39,66,275,415,118,189,27,23,11,4,2,6,5,0,0,3,1,0,1,6,2,7,4,6,1,9,0,4,0,5,2,32,8,34,16,68,33,2,40,0,0,0,0,0,0,0,0
"1010",541,469,65,153,59,73,59,49,25,176,2665,205,332,394,93,322,934,1566,443,581,46,37,19,17,5,19,14,1,5,0,6,8,1,9,12,8,14,9,10,2,5,14,1,8,8,133,100,93,102,165,64,1,188,0,0,0,1,0,4,0,0
"1011",130,139,26,23,27,24,25,10,8,47,219,1495,257,293,84,272,206,438,133,202,17,16,5,2,5,4,6,3,1,6,4,2,8,7,0,3,8,3,2,3,2,4,0,8,6,79,21,20,31,73,23,3,34,0,0,0,0,0,0,0,0
"1012",472,538,101,75,47,34,67,61,35,94,321,226,5244,444,137,114,189,307,90,196,12,9,8,4,3,6,8,3,2,8,4,2,3,12,2,6,8,2,6,11,3,3,1,3,10,206,45,83,98,191,13,0,29,0,0,0,0,0,0,0,0
"1013",424,612,83,89,45,55,74,29,29,160,401,200,531,3154,98,204,246,520,275,352,16,12,6,7,5,12,9,0,0,1,0,3,3,10,5,5,18,8,7,4,2,5,3,7,18,95,111,67,114,377,40,0,85,0,0,0,1,0,2,0,0
"1014",140,157,24,18,36,31,70,4,2,6,115,97,231,159,895,133,64,108,25,33,5,3,3,2,2,1,2,0,2,3,0,0,2,4,1,0,2,3,1,0,1,9,1,1,1,30,13,8,11,15,7,0,5,0,0,1,0,0,0,0,0
"1015",213,419,112,33,31,133,119,12,20,57,313,238,224,269,122,1523,182,142,40,59,2,20,17,3,1,3,1,0,2,0,0,2,0,1,1,3,6,1,2,4,1,7,0,2,4,67,10,28,31,126,4,0,23,0,0,0,2,0,0,0,0
"1016",591,662,89,226,45,149,170,56,40,133,994,174,221,250,54,164,839,176,119,206,13,39,10,11,21,13,13,3,3,4,4,53,4,6,6,7,7,5,4,9,3,9,1,8,4,63,35,25,59,88,37,0,55,0,0,0,0,0,0,0,0
"1017",1087,936,120,128,58,146,164,43,40,208,1271,348,388,535,77,139,211,2184,348,566,42,70,25,25,8,13,15,10,12,8,16,4,10,24,7,14,19,15,3,4,7,12,1,6,7,134,30,27,66,109,84,1,119,0,0,0,0,0,0,0,0
"1018",161,334,32,24,9,61,47,4,2,47,333,118,98,155,17,49,101,375,692,154,24,16,9,14,5,8,13,2,2,7,8,5,1,11,4,6,8,0,3,1,3,27,0,2,3,24,14,8,15,28,58,0,25,0,0,0,0,0,0,0,0
